観測所番号,観測所名,ｶﾀｶﾅ名,緯度,経度,標高,正式名称,都道府県,市町村
16321,黒松内,ｸﾛﾏﾂﾅｲ,42.663,140.31,27,黒松内アメダス,北海道,寿都郡黒松内町
17036,雄武,ｵｳﾑ,44.58,142.963,14,雄武特別地域気象観測所,北海道,紋別郡雄武町
17076,興部,ｵｺｯﾍﾟ,44.47,143.108,8,興部アメダス,北海道,紋別郡興部町
17091,西興部,ﾆｼｵｺｯﾍﾟ,44.332,142.935,120,西興部アメダス,北海道,紋別郡西興部村
17112,紋別,ﾓﾝﾍﾞﾂ,44.345,143.355,16,紋別特別地域気象観測所,北海道,紋別市
17116,紋別小向,ﾓﾝﾍﾞﾂｺﾑｶｲ,44.303,143.403,18,紋別航空気象観測所,北海道,紋別市
17166,湧別,ﾕｳﾍﾞﾂ,44.213,143.618,5,湧別アメダス,北海道,紋別郡湧別町
17196,滝上,ﾀｷﾉｳｴ,44.177,143.062,165,滝上アメダス,北海道,紋別郡滝上町
17211,上藻別,ｶﾐﾓﾍﾞﾂ,44.187,143.335,94,上藻別アメダス,北海道,紋別市
17246,常呂,ﾄｺﾛ,44.115,144.037,3,常呂アメダス,北海道,北見市
17306,遠軽,ｴﾝｶﾞﾙ,44.053,143.54,80,遠軽アメダス,北海道,紋別郡遠軽町
17316,佐呂間,ｻﾛﾏ,44.018,143.76,54,佐呂間アメダス,北海道,常呂郡佐呂間町
17341,網走,ｱﾊﾞｼﾘ,44.017,144.278,38,網走地方気象台,北海道,網走市
17351,宇登呂,ｳﾄﾛ,44.052,144.982,144,宇登呂アメダス,北海道,斜里郡斜里町
17386,丸瀬布,ﾏﾙｾｯﾌﾟ,43.952,143.328,242,丸瀬布アメダス,北海道,紋別郡遠軽町
17482,白滝,ｼﾗﾀｷ,43.865,143.153,475,白滝アメダス,北海道,紋別郡遠軽町
17501,生田原,ｲｸﾀﾊﾗ,43.917,143.532,199,生田原アメダス,北海道,紋別郡遠軽町
17512,仁頃山,ﾆｺﾛﾔﾏ,43.86,143.747,261,仁頃山アメダス,北海道,北見市
17521,北見,ｷﾀﾐ,43.777,143.842,104,北見アメダス,北海道,北見市
17531,女満別,ﾒﾏﾝﾍﾞﾂ,43.88,144.163,33,女満別航空気象観測所,北海道,網走郡大空町
17541,東藻琴,ﾋｶﾞｼﾓｺﾄ,43.84,144.285,58,東藻琴アメダス,北海道,網走郡大空町
17546,小清水,ｺｼﾐｽﾞ,43.842,144.485,52,小清水アメダス,北海道,斜里郡小清水町
17561,斜里,ｼｬﾘ,43.885,144.7,15,斜里アメダス,北海道,斜里郡斜里町
17596,留辺蘂,ﾙﾍﾞｼﾍﾞ,43.742,143.45,325,留辺蘂アメダス,北海道,北見市
17607,境野,ｻｶｲﾉ,43.707,143.643,184,境野アメダス,北海道,常呂郡置戸町
17631,美幌,ﾋﾞﾎﾛ,43.77,144.172,60,美幌アメダス,北海道,網走郡美幌町
17642,山園,ﾔﾏｿﾞﾉ,43.743,144.337,361,山園アメダス,北海道,網走郡大空町
17686,置戸常元,ｵｹﾄﾂﾈﾓﾄ,43.62,143.44,368,置戸常元アメダス,北海道,常呂郡置戸町
17717,津別,ﾂﾍﾞﾂ,43.702,144.033,100,津別アメダス,北海道,網走郡津別町
17776,津別二又,ﾂﾍﾞﾂﾌﾀﾏﾀ,43.583,143.865,210,津別二又アメダス,北海道,網走郡津別町
18038,羅臼,ﾗｳｽ,44.023,145.187,15,羅臼アメダス,北海道,目梨郡羅臼町
18091,糸櫛別,ｲﾄｸｼﾍﾞﾂ,43.722,144.988,115,糸櫛別アメダス,北海道,標津郡標津町
18136,標津,ｼﾍﾞﾂ,43.662,145.132,3,標津アメダス,北海道,標津郡標津町
18161,上標津,ｶﾐｼﾍﾞﾂ,43.52,144.747,160,上標津アメダス,北海道,標津郡中標津町
18171,中標津,ﾅｶｼﾍﾞﾂ,43.543,144.978,50,中標津アメダス,北海道,標津郡中標津町
18174,根室中標津,ﾈﾑﾛﾅｶｼﾍﾞﾂ,43.577,144.96,65,中標津航空気象観測所,北海道,標津郡中標津町
18256,別海,ﾍﾞﾂｶｲ,43.382,145.118,23,別海アメダス,北海道,野付郡別海町
18273,根室,ﾈﾑﾛ,43.33,145.585,25,根室特別地域気象観測所,北海道,根室市
18281,納沙布,ﾉｻｯﾌﾟ,43.393,145.758,12,納沙布アメダス,北海道,根室市
18311,厚床,ｱｯﾄｺ,43.222,145.227,41,厚床アメダス,北海道,根室市
19021,川湯,ｶﾜﾕ,43.617,144.457,158,川湯アメダス,北海道,川上郡弟子屈町
19051,弟子屈,ﾃｼｶｶﾞ,43.51,144.467,170,弟子屈アメダス,北海道,川上郡弟子屈町
19076,阿寒湖畔,ｱｶﾝｺﾊﾝ,43.437,144.083,426,阿寒湖畔アメダス,北海道,釧路市
